PN;End-of-Sale Date;End of New Service Attachment Date;End of Service Contract Renewal Date;Last Date of Support; омментарий
ME3750-IPBASE-LIC;;;;;
ME-3800X-24FS-M;;;;;
ME3800X-A;;;;;
ME3800X-S;;;;;
ME-4924-10GE;February 28, 2013;February 28, 2014;May 29, 2017;February 28, 2018;
ME-BDL-01;;;;;
ME-C3750-24TE-M;August 29, 2011;February 22, 2013;May 23, 2016;February 28, 2017;
ME-C6524GS-8S;March 31, 2012;March 31, 2013;June 26, 2016;March 31, 2017;
MEM-16F-RSP4+;December 15, 2007;December 14, 2008;March 14, 2012;December 31, 2012;
MEM1700-32D;;;;;
MEM1700-64D;;;;;без SN
MEM1800-32CF;;;;;без SN
MEM2600XM-128D;;;;;без SN
MEM2600XM-32FS;;;;;без SN
MEM2691-128D;;;;;без SN
MEM2691-64CF;;;;;без SN
MEM2800-64CF-INC;;;;;без SN
MEM2811-256D;;;;;без SN
MEM2821-256D;;;;;без SN
MEM3745-128U256D;;;;;без SN
MEM3745-32U64CF;;;;;без SN
MEM-7201-1GB;;;;;без SN
MEM-7201-FLD256;;;;;без SN
MEM-7301-FLD64;;;;;без SN
MEM800-4F;;;;;без SN
MEM870-4F;;;;;
