PN,End-of-Sale Date,End of New Service Attachment Date,End of Service Contract Renewal Date,Last Date of Support,Source Link,Notes,Found as
ASA5510-BUN-K9,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727283.html,OK,ASA5510-BUN-K9
ASA5510-K8,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727283.html,OK,ASA5510-K8
ASA5510-SEC-BUN-K9,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727283.html,OK,ASA5510-SEC-BUN-K9
ASA5520-BUN-K9,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727279.html,OK,ASA5520-BUN-K9
ASA5520-DC-K8,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727279.html,OK,ASA5520-DC-K8
ASA5520-K8,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727279.html,OK,ASA5520-K8
ASA5525-K8,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5545-x-firepower-services/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5525-K8
ASA5540-K8,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727354.html,OK,ASA5540-K8
ASA5545-K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5545-x-adaptive-security-appliance-no-payload-encryption/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5545-K9
ASA5550-BUN-K9,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727352.html,OK,ASA5550-BUN-K9
ASA5550-K8,"September 16, 2013","September 16, 2014","December 12, 2017","September 30, 2018",http://www.cisco.com/c/en/us/products/collateral/security/asa-5500-series-next-generation-firewalls/eol_C51-727352.html,OK,ASA5550-K8
ASA5585-S10-K9,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/security/asa-5585-x-adaptive-security-appliance/model.html,EOS status Orderable (No  specific EOS for this PN),ASA5585-S10-K9
ASR1000-ESP10-N,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1000-ESP10-N
ASR1000-ESP20,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-1000-series-20-gbps-embedded-services-processor/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1000-ESP20
ASR1000-ESP40,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-1000-series-40-gbps-embedded-services-processor/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1000-ESP40
ASR1000-ESP5,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1000-ESP5
ASR1000-RP1,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1000-RP1
ASR1000-RP2,None Announced,N/A,N/A,None Announced,http://www.cisco.com/c/en/us/support/interfaces-modules/asr-1000-series-route-processor-rp2/model.html,EOS status Orderable (No  specific EOS for this PN),ASR1000-RP2
ASR1000-SIP10,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1000-SIP10
ASR1000-SIP10-SB,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1000-SIP10-SB
ASR1000-SIP40,NULL,NULL,NULL,NULL,NULL,Cant find info about this PN,NULL
ASR1001,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1001
ASR1001-PWR-AC,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1001-PWR-AC
ASR1001-PWR-DC,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1001-PWR-DC
ASR1002,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1002
ASR1002-10G/K9,"April 29, 2016","April 29, 2017","July 28, 2020","April 30, 2021",http://www.cisco.com/c/en/us/products/collateral/routers/asr-1000-series-aggregation-services-routers/eos-eol-notice-c51-734572.html,OK,ASR1002-10G/K9
